ensembl_gene_id	description
LOC409126	ras-related protein Rab-2
LOC107964975	uncharacterized LOC107964975
LOC107965599	uncharacterized LOC107965599, transcript variant X2
LOC725603	protein-cysteine N-palmitoyltransferase Rasp, transcript variant X1
LOC102654049	putative gustatory receptor 28a
LOC724739	zinc finger protein 260-like, transcript variant X3
LOC410888	lachesin, transcript variant X3
LOC552531	10 kDa heat shock protein, mitochondrial
LOC409151	ataxin-2-like protein, transcript variant X2
LOC102655180	odorant receptor 63a-like, transcript variant X2
LOC100577698	uncharacterized LOC100577698
LOC107964884	uncharacterized LOC107964884
LOC411227	tyrosine-protein phosphatase non-receptor type 9
LOC412986	putative fatty acyl-CoA reductase
LOC724430	putative sodium/calcium exchanger 7
GeneID_408956	protein nanos
LOC409863	ras-related protein Rab-21
LOC411093	testis-specific serine/threonine-protein kinase 1, transcript variant X2
LOC726569	mitochondrial import inner membrane translocase subunit Tim21, transcript variant X3
LOC725503	uncharacterized LOC725503, transcript variant X8
LOC113218612	uncharacterized LOC113218612
LOC102655284	serine--tRNA ligase
GeneID_100629018	microRNA 3777
LOC113219215	uncharacterized LOC113219215, transcript variant X3
LOC113218779	70 kDa peptidyl-prolyl isomerase-like
GeneID_100578244	cuticular protein 18
LOC102655028	uncharacterized LOC102655028
LOC100578137	uncharacterized LOC100578137
LOC107965697	uncharacterized LOC107965697
LOC100577365	homeobox protein invected, transcript variant X1
LOC107964765	uncharacterized LOC107964765
LOC412273	probable chitinase 10, transcript variant X3
LOC102655617	ribonuclease P protein subunit p20, transcript variant X1
LOC550977	protein abrupt, transcript variant X1
GeneID_104796171	microRNA 9885
LOC413185	spondin-1, transcript variant X5
LOC107965381	uncharacterized LOC107965381
LOC412475	knirps-related protein, transcript variant X3
LOC551398	DNA polymerase delta catalytic subunit, transcript variant X2
LOC409310	CSC1-like protein 2, transcript variant X2
LOC409920	ubiquitin-conjugating enzyme E2 variant 2
LOC408536	angiotensin-converting enzyme, transcript variant X1
LOC107965723	uncharacterized LOC107965723
LOC409061	tyrosine kinase receptor Cad96Ca
LOC102656083	uncharacterized LOC102656083
LOC100577220	regulatory protein MIG1
LOC724740	fork head domain transcription factor slp2
LOC100577334	odorant receptor 33
GeneID_100578520	odorant receptor 58
LOC100578892	stimulator of interferon genes protein
LOC551722	diacylglycerol kinase epsilon, transcript variant X2
GeneID_107965652	tRNA-Lys
LOC411691	phosphotriesterase-related protein, transcript variant X2
LOC724666	2-aminoethanethiol dioxygenase, transcript variant X1
LOC100576814	uncharacterized LOC100576814, transcript variant X1
LOC113219200	uncharacterized LOC113219200
LOC408306	sodium/hydrogen exchanger 3, transcript variant X5
LOC412788	scavenger receptor class B member 1, transcript variant X4
LOC409819	JNK1/MAPK8-associated membrane protein
LOC726056	60S ribosomal protein L21
LOC100576951	uncharacterized LOC100576951
LOC102653858	uncharacterized LOC102653858
LOC411698	ethanolaminephosphotransferase 1
LOC413170	kinesin 3D, transcript variant X2
LOC107965416	uncharacterized LOC107965416, transcript variant X3
LOC412431	thiamine transporter 2
LOC113219022	small nucleolar RNA U6-53/MBII-28
LOC412961	protein bicaudal D, transcript variant X2
LOC100577493	transmembrane and TPR repeat-containing protein 4, transcript variant X2
LOC113219367	uncharacterized LOC113219367, transcript variant X1
LOC408908	anoctamin-8, transcript variant X6
LOC409733	transcriptional activator Myb, transcript variant X3
LOC411215	DTW domain-containing protein 2
LOC724903	protein tipE
LOC552095	poly [ADP-ribose] polymerase
LOC102655685	uncharacterized LOC102655685
LOC410950	TBC1 domain family member 9
LOC100577406	uncharacterized LOC100577406, transcript variant X1
LOC552820	forkhead box protein N3
LOC725909	probable cysteine--tRNA ligase, mitochondrial
LOC413118	neuroblastoma-amplified sequence
LOC409017	pantothenate kinase 4, transcript variant X1
LOC100577237	ankyrin repeat and ELMO domain-containing protein D, transcript variant X2
LOC102655896	nucleoplasmin-like protein, transcript variant X1
LOC113219095	uncharacterized LOC113219095
LOC102654791	protein kinase C-binding protein 1, transcript variant X3
LOC412528	eyes absent homolog 4, transcript variant X4
LOC102655156	uncharacterized LOC102655156
LOC100578670	uncharacterized LOC100578670, transcript variant X2
LOC552153	vesicle transport protein SEC20, transcript variant X1
LOC410273	transcription termination factor 2, transcript variant X1
LOC727081	uncharacterized LOC727081, transcript variant X1
LOC552451	transmembrane and ubiquitin-like domain-containing protein 1
LOC100577091	uncharacterized LOC100577091, transcript variant X1
LOC413362	ATP-dependent DNA helicase Q1-like
LOC408286	2-oxoglutarate dehydrogenase, mitochondrial, transcript variant X2
GeneID_732501	microRNA 277
LOC102654053	uncharacterized LOC102654053
LOC102654806	uncharacterized LOC102654806
LOC410857	protein lethal(2)essential for life
LOC727471	NAD(P)H-hydrate epimerase
LOC113218805	uncharacterized LOC113218805
LOC413935	nucleolar protein 58
LOC726922	acyl-CoA-binding domain-containing protein 4, transcript variant X3
LOC100578424	uncharacterized LOC100578424
LOC552665	quinone oxidoreductase-like protein 2-like
LOC727378	peptidyl-prolyl cis-trans isomerase-like 1, transcript variant X1
LOC413086	DNA ligase 3, transcript variant X7
LOC410291	dipeptidase 1
LOC725945	zinc finger protein 555
LOC724195	B-cell receptor CD22, transcript variant X4
LOC102656618	uncharacterized LOC102656618
LOC409957	synaptotagmin 4, transcript variant X2
LOC727333	acyl-CoA Delta(11) desaturase, transcript variant X2
GeneID_100578047	odorant receptor 10
LOC113218542	uncharacterized LOC113218542
LOC100577756	zinc finger protein 678, transcript variant X2
LOC724889	structural maintenance of chromosomes protein 1A-like
GeneID_692346	telomerase reverse transcriptase
LOC412701	vacuolar protein sorting-associated protein 13D
LOC411240	nucleolar protein 10
GeneID_100629043	microRNA 3715
LOC102654245	leucine-rich repeat extensin-like protein 3
LOC551726	inositol-tetrakisphosphate 1-kinase
LOC409199	glycerol kinase, transcript variant X2
LOC724343	DNA-directed RNA polymerase III subunit RPC9-like
LOC113218628	uncharacterized LOC113218628
LOC408635	BTB/POZ domain-containing protein 1, transcript variant X2
LOC412003	GTPase-activating protein, transcript variant X5
LOC551156	Golgi pH regulator, transcript variant X1
LOC100577886	general transcription factor 3C polypeptide 1
LOC408847	uroporphyrinogen-III synthase
LOC552020	neuromodulin, transcript variant X2
LOC413336	ADP-dependent glucokinase
LOC411822	aldehyde dehydrogenase family 3 member B1, transcript variant X13
LOC412131	kinesin 4B
LOC100578921	uncharacterized LOC100578921
LOC727269	zinc finger protein 271, transcript variant X1
LOC113219233	uncharacterized LOC113219233
LOC113219168	5S ribosomal RNA
LOC552807	prefoldin subunit 6, transcript variant X2
LOC551254	CDK5 and ABL1 enzyme substrate 2, transcript variant X1
LOC551754	phosphorylated CTD-interacting factor 1, transcript variant X2
LOC107965760	odorant receptor 4-like
LOC113219331	U1 spliceosomal RNA
LOC100577649	kinesin-like protein Klp61F, transcript variant X1
LOC102655375	uncharacterized LOC102655375
LOC413462	cyclin-G-associated kinase
LOC411110	solute carrier family 52, riboflavin transporter, member 3-A, transcript variant X2
LOC413879	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial, transcript variant X2
LOC408752	DNA ligase 1, transcript variant X1
LOC551135	vacuolar protein sorting-associated protein 33B, transcript variant X2
LOC100578780	helix-loop-helix protein delilah
LOC726543	proline-rich nuclear receptor coactivator 2
LOC412543	uncharacterized LOC412543, transcript variant X1
LOC113218780	uncharacterized LOC113218780
LOC408959	protein unc-13 homolog 4B, transcript variant X4
LOC102653678	uncharacterized LOC102653678, transcript variant X15
GeneID_107964251	tRNA-Arg
LOC100578928	calcium and integrin-binding protein 1, transcript variant X2
LOC100578277	U11/U12 small nuclear ribonucleoprotein 25 kDa protein
LOC100576915	asparagine-rich protein, transcript variant X2
LOC550829	DNA-directed RNA polymerase II subunit RPB1
LOC413023	transmembrane protein 39A, transcript variant X3
LOC413705	acidic mammalian chitinase, transcript variant X2
GeneID_107965133	tRNA-Pro
LOC102656190	uncharacterized LOC102656190
GeneID_732505	microRNA 2-1
LOC726150	transcription factor Sox-21-B
LOC412876	pyruvate carboxylase, mitochondrial, transcript variant X2
LOC725834	septin-7, transcript variant X9
LOC102654781	protein G12
LOC411381	caspase-3
LOC725934	replication protein A 70 kDa DNA-binding subunit
LOC102656562	uncharacterized LOC102656562
GeneID_104794315	microRNA 6002
LOC102654265	uncharacterized LOC102654265
LOC100579052	mitochondrial-processing peptidase subunit beta
LOC107964068	uncharacterized LOC107964068
LOC408660	uncharacterized LOC408660, transcript variant X2
LOC102654090	apoptogenic protein 1, mitochondrial
LOC410345	GATOR complex protein WDR59, transcript variant X2
LOC726515	cilia- and flagella-associated protein 300, transcript variant X1
LOC408963	pleckstrin homology domain-containing family G member 5, transcript variant X12
LOC725569	UDP-xylose and UDP-N-acetylglucosamine transporter
LOC724274	protein lethal(2)essential for life
LOC102655779	uncharacterized LOC102655779, transcript variant X2
GeneID_409716	apidermin 3
LOC552667	protein charybde, transcript variant X1
LOC726605	sentrin-specific protease 8, transcript variant X2
GeneID_413894	yellow-e3
LOC410140	gamma-aminobutyric acid type B receptor subunit 2, transcript variant X3
LOC100577410	uncharacterized LOC100577410
LOC724807	protein FAM32A-like
LOC726250	cilia- and flagella-associated protein 43-like, transcript variant X2
LOC100578317	uncharacterized LOC100578317, transcript variant X11
LOC409801	esterase E4
LOC100577735	peptidyl-prolyl cis-trans isomerase sig-7-like
LOC408996	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase, transcript variant X2
LOC726999	iroquois-class homeodomain protein IRX-6, transcript variant X5
LOC410694	transcription factor collier, transcript variant X4
LOC725615	serine/threonine-protein kinase RIO3, transcript variant X2
LOC552769	ubiA prenyltransferase domain-containing protein 1 homolog
LOC551620	pre-mRNA-processing-splicing factor 8, transcript variant X1
LOC725860	synaptotagmin 13, transcript variant X1
LOC552098	syntaxin-8
LOC412678	putative tricarboxylate transport protein, mitochondrial
LOC413076	ecdysone-induced protein 78C, transcript variant X1
LOC724672	SRSF protein kinase 3, transcript variant X1
LOC726381	neuralized-like protein 4, transcript variant X1
LOC410283	transmembrane protein 222
GeneID_409798	FABP-like protein
LOC113219249	uncharacterized LOC113219249
GeneID_409779	follistatin-like 5
LOC411722	endoplasmic reticulum-Golgi intermediate compartment protein 2, transcript variant X2
LOC107964890	uncharacterized LOC107964890
LOC410936	cytochrome b5 reductase 4, transcript variant X6
LOC100577816	gamma-tubulin complex component 6, transcript variant X1
LOC107965289	uncharacterized LOC107965289
LOC100577766	uncharacterized LOC100577766
GeneID_726691	cuticular protein CPF2
LOC727510	lactosylceramide 4-alpha-galactosyltransferase, transcript variant X1
LOC550958	uncharacterized LOC550958
LOC726600	intraflagellar transport protein 56, transcript variant X1
LOC100577782	uncharacterized LOC100577782, transcript variant X2
LOC726958	tumor necrosis factor receptor superfamily member wengen, transcript variant X2
LOC726737	venom acid phosphatase Acph-1, transcript variant X1
LOC408516	protein D2, transcript variant X1
GeneID_104794341	microRNA 6045
LOC724965	dnaJ homolog subfamily C member 5, transcript variant X1
LOC724630	transmembrane protein 230, transcript variant X1
GeneID_406090	major royal jelly protein 1
LOC410021	protein Skeletor, isoforms B/C, transcript variant X2
LOC113218810	uncharacterized LOC113218810
LOC725424	nurim homolog, transcript variant X2
LOC113219410	uncharacterized LOC113219410
LOC551268	pancreatic triacylglycerol lipase, transcript variant X4
LOC551892	cytoplasmic protein NCK1, transcript variant X3
LOC113219342	voltage-dependent calcium channel subunit alpha-2/delta-4-like
LOC552672	proclotting enzyme
LOC727140	zinc finger protein 830
LOC726444	ectonucleoside triphosphate diphosphohydrolase 5
LOC100578109	NADPH:adrenodoxin oxidoreductase, mitochondrial, transcript variant X2
LOC724651	amphoterin-induced protein 2-like, transcript variant X2
LOC724803	neprilysin-4, transcript variant X3
LOC552342	lysophospholipid acyltransferase 2
LOC411404	nucleolar complex protein 4 homolog B, transcript variant X2
LOC408421	uncharacterized LOC408421, transcript variant X2
LOC726784	sphingosine-1-phosphate phosphatase 1
LOC412443	regulator of microtubule dynamics protein 1, transcript variant X1
LOC411305	tryptophan--tRNA ligase, mitochondrial
LOC552003	uncharacterized LOC552003, transcript variant X3
LOC552299	myosin-IA, transcript variant X1
LOC412305	succinate-semialdehyde dehydrogenase, mitochondrial
LOC413929	egl nine homolog 1, transcript variant X1
LOC100578513	KIF1-binding protein homolog
LOC411534	circadian locomoter output cycles protein kaput, transcript variant X1
LOC102655071	uncharacterized LOC102655071, transcript variant X1
GeneID_413254	twist
LOC551497	lariat debranching enzyme, transcript variant X2
LOC551584	probable 28S ribosomal protein S6, mitochondrial
LOC409389	ubiquitin specific protease-like
LOC413919	protein Lilipod
LOC411262	leucine-zipper-like transcriptional regulator 1, transcript variant X2
LOC413020	two pore potassium channel protein sup-9, transcript variant X2
LOC410893	transcription factor AP-2-epsilon, transcript variant X7
LOC551528	thymosin beta, transcript variant X2
LOC102655011	uncharacterized LOC102655011
LOC408988	uncharacterized LOC408988, transcript variant X2
LOC100577980	uncharacterized LOC100577980, transcript variant X1
LOC408547	toxin 3FTx-Lei1
LOC100578698	uncharacterized LOC100578698, transcript variant X7
LOC408875	heat shock protein beta-1, transcript variant X1
LOC409206	tripartite motif-containing protein 2, transcript variant X5
GeneID_100629048	microRNA 3736
LOC552010	60S ribosomal export protein NMD3
LOC726608	PHD finger protein 14, transcript variant X2
LOC408944	probable JmjC domain-containing histone demethylation protein 2C, transcript variant X4
GeneID_406110	tyramine receptor
